RANK,FULLNAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes,USG%Usage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,eFG%Effective,TS%True,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility,ORTG,DRTG
,Precious Achiuwa,Tor,F,22.45,51,23.2,48.4,17.2,11.1,89,0.573,315,0.457,69,0.333,0.465,0.482,8,6.9,16.2,1.2,7.4,0.53,0.57,1.04,7,104.4,104
,Steven Adams,Mem,C,28.61,59,26.4,55,12.3,20.6,161,0.553,300,0.543,0,0,0.543,0.56,7,9.9,19.6,3.3,15.9,0.86,0.75,1.63,9.3,122,104.2
,Bam Adebayo,Mia,C-F,24.62,37,33.3,69.4,25.3,14.8,225,0.747,494,0.538,5,0,0.533,0.585,18.9,10.2,17.3,3.6,17.9,1.51,0.89,2.81,10.6,113.8,97.4
,Santi Aldama,Mem,F-C,21.14,27,10.2,21.4,17.1,7.8,20,0.6,58,0.569,39,0.103,0.402,0.425,3.3,2.4,12.1,0.5,6.7,0.07,0.26,0.33,6.2,98.6,104.5
,LaMarcus Aldridge,Bro,C-F,36.62,42,22.6,47.1,23.2,8,95,0.874,386,0.583,43,0.302,0.57,0.607,13.6,5.6,13.3,0.9,6.3,0.31,1.07,0.98,7.2,119.1,108.1
,Nickeil Alexander-Walker,Nor,G,23.49,50,26.3,54.9,24.9,11.2,97,0.722,327,0.434,305,0.311,0.45,0.474,12.8,3.3,6.9,2.8,16.7,0.82,0.38,1.7,7.5,96.4,109.5
,Nickeil Alexander-Walker,Uta,G,23.49,2,2.6,5.4,8.4,0,0,0,0,0,1,0,0,0,0,0.5,10.5,0,0,0,0,0,0,,
,Grayson Allen,Mil,G,26.4,51,27.7,57.7,16,5.5,59,0.847,147,0.503,325,0.394,0.564,0.584,11.4,3.3,6.3,1.5,7.6,0.8,0.29,0.57,5.5,118.8,109.4
,Jarrett Allen,Cle,C,23.86,53,32.7,68,18.2,13,225,0.707,511,0.683,10,0.1,0.673,0.694,16.2,11,18.3,1.7,8.6,0.75,1.34,1.75,8.2,131.9,101.9
,Jose Alvarado,Nor,G,23.89,33,12.8,26.6,18.3,11.2,27,0.741,88,0.5,59,0.305,0.483,0.51,4.9,1.4,6.1,2.1,24.6,1,0.15,0.61,7.6,110.2,102.5
,Justin Anderson,Cle,F-G,28.28,3,15.5,32.4,11.1,17,4,0.75,2,1,6,0.333,0.625,0.666,4.3,2,7,2,17.5,0.33,0,0.67,6.7,126.3,101.6
,Justin Anderson,Ind,F-G,28.28,3,10.1,21,18.9,7.5,3,1,2,0.5,9,0.111,0.227,0.325,2.7,1.3,7.3,1,12.8,0.33,0.33,0.33,6,86.6,101.3
,Kyle Anderson,Mem,F-G,28.44,50,21.8,45.4,16.2,12.1,77,0.636,264,0.462,79,0.342,0.474,0.496,7.5,5.4,12.8,2.7,16.5,1.06,0.62,1.04,8.8,107.9,103.3
,Giannis Antetokounmpo,Mil,F,27.23,51,32.7,68.1,34.9,12.4,575,0.729,740,0.609,196,0.301,0.576,0.63,29.4,11.4,18.3,6,33.9,1,1.41,3.31,15.4,123.3,98.9
,Thanasis Antetokounmpo,Mil,F,29.62,38,9.7,20.2,14,16.6,26,0.615,78,0.551,11,0.091,0.5,0.523,2.8,2.2,11.7,0.5,7,0.37,0.24,0.53,6,107.1,95.5
,Carmelo Anthony,Lal,F,37.75,52,26.6,55.5,20.1,7,123,0.829,237,0.502,310,0.39,0.549,0.585,13.5,4.2,8.3,1,5.8,0.73,0.83,0.87,5.8,114.8,106.3
,Cole Anthony,Orl,G,21.79,48,32.8,68.4,26,14.6,193,0.855,415,0.441,308,0.334,0.467,0.52,17.5,5.7,9.3,5.8,29.1,0.83,0.27,2.88,10.2,102.4,107.3
,OG Anunoby,Tor,F,24.62,42,36.7,76.4,21,9.8,107,0.748,350,0.506,285,0.351,0.515,0.538,17.5,5.5,8.1,2.6,10.9,1.55,0.57,1.76,6.9,109.8,106.5
,Trevor Ariza,Lal,F,36.67,22,18.9,39.3,10.2,10.1,15,0.533,16,0.5,66,0.303,0.463,0.474,3.8,3.2,9.1,1,7.1,0.5,0.18,0.45,4.9,98.7,109.9
,D.J. Augustin,Hou,G,34.31,34,15,31.2,16.4,22.8,38,0.868,40,0.4,96,0.406,0.548,0.596,5.4,1.2,4.4,2.2,20.8,0.29,0,1.32,6.5,106.9,119.4
,Deni Avdija,Was,F,21.16,60,23.7,49.3,15,11.4,90,0.767,215,0.544,171,0.31,0.509,0.543,7.7,5.2,11.9,1.7,9.8,0.8,0.58,0.92,6.9,107.5,103.4
,Joel Ayayi,Was,G,21.99,7,2.9,6,13.2,0,0,0,5,0.2,1,0,0.167,0.167,0.3,0.4,8.1,0.6,25.4,0,0,0,5.7,,
,Deandre Ayton,Pho,C,23.61,40,29.3,61,20.9,11.8,106,0.717,441,0.646,11,0.364,0.644,0.66,16.5,10,18.2,1.4,7.5,0.8,0.85,1.68,8.4,123.5,98.9
,Udoka Azubuike,Uta,C-F,22.45,15,11.9,24.7,14.9,19.7,11,0.545,44,0.75,0,0,0.75,0.737,4.8,4.1,19,0,0,0.07,0.73,0.8,0,121,97
,Marvin Bagley III,Sac,F,22.97,30,21.9,45.6,18.7,7.3,47,0.745,184,0.538,62,0.242,0.494,0.521,9.3,7.2,17.7,0.6,3.9,0.3,0.37,0.7,6.3,111,108.6
,Marvin Bagley III,Det,F,22.97,4,22.4,46.6,21.4,2.2,11,0.455,33,0.576,6,0.167,0.526,0.525,11.5,5.5,13.2,0.3,2,0.5,0.25,0.25,4.8,111.4,110.9
,LaMelo Ball,Cha,G,20.52,56,32.7,68.1,28.1,14.8,194,0.861,544,0.456,409,0.369,0.498,0.537,19.9,7,11.2,7.4,34.8,1.52,0.43,3.21,12.4,109.1,104.6
